Date,TAN
2017-01-08,1.0259434291161282
2017-01-15,1.041863268287043
2017-01-22,1.0430425406245034
2017-01-29,1.0347877467238809
2017-02-05,1.0300707698356395
2017-02-12,1.0489387898502054
2017-02-19,1.092570854181839
2017-02-26,1.1179245346676374
2017-03-05,1.076061378842194
2017-03-12,1.0536557667384467
2017-03-19,1.0589622673338182
2017-03-26,1.0194576561832955
2017-04-02,1.0188680200145652
2017-04-09,1.0141510431263239
2017-04-16,1.020636816059156
2017-04-23,1.0047170893498407
2017-04-30,1.0318396783418293
2017-05-07,1.0536557667384463
2017-05-14,1.0695754934477617
2017-05-21,1.066627425065711
2017-05-28,1.0849056964499468
2017-06-04,1.0937500140576997
2017-06-11,1.0966981949013506
2017-06-18,1.0813679918991659
2017-06-25,1.1674528482249733
2017-07-02,1.1727594612819445
2017-07-09,1.165094416011652
2017-07-16,1.216981161782309
2017-07-23,1.2570755215631617
2017-07-30,1.273584996902807
2017-08-06,1.2871462913988012
2017-08-13,1.2659198391709146
2017-08-20,1.2753537929473975
2017-08-27,1.2665094753396446
2017-09-03,1.2924529044557724
2017-09-10,1.2877359275675309
2017-09-17,1.3189859697406308
2017-09-24,1.3083727436266874
2017-10-01,1.276533065284857
2017-10-08,1.2930425406245023
2017-10-15,1.3195754934477606
2017-10-22,1.3278302873483832
2017-10-29,1.4133255075054605
2017-11-05,1.4351415959020775
2017-11-12,1.4545991396237736
2017-11-19,1.4475236180606113
2017-11-26,1.4976415677866772
2017-12-03,1.427476438170185
2017-12-10,1.4357312320708078
2017-12-17,1.4463444581847513
2017-12-24,1.4911557948538454
2017-12-31,1.4817217286157627
2018-01-07,1.5277123376223174
2018-01-14,1.5683963335719004
2018-01-21,1.5312500421730986
2018-01-28,1.50412745318111
2018-02-04,1.4180424843937027
2018-02-11,1.3207547657852219
2018-02-18,1.4646227295689878
2018-02-25,1.468750070288499
2018-03-04,1.4333726873958879
2018-03-11,1.4887972501789257
2018-03-18,1.4870283416727355
2018-03-25,1.4528302311175845
2018-04-01,1.4481132542293431
2018-04-08,1.4375000281154
2018-04-15,1.4557784119612358
2018-04-22,1.4917453185609775
2018-04-29,1.4805425687399039
2018-05-06,1.4298349828451076
2018-05-13,1.5271227014535884
2018-05-20,1.5654481527282504
2018-05-27,1.527712337622318
2018-06-03,1.484080273290684
2018-06-10,1.3673350109605065
2018-06-17,1.3708727155112879
2018-06-24,1.3974057807961466
2018-07-01,1.3620283979035355
2018-07-08,1.3879718270196635
2018-07-15,1.3726416240174788
2018-07-22,1.3478774672388107
2018-07-29,1.3419812180131092
2018-08-05,1.3060141989517677
2018-08-12,1.306603835120498
2018-08-19,1.2429245908984379
2018-08-26,1.2906839959495828
2018-09-02,1.2871462913988019
2018-09-09,1.2258255918516623
2018-09-16,1.2305425687399036
2018-09-23,1.2724057245653468
2018-09-30,1.222877411008011
2018-10-07,1.1880896642841297
2018-10-14,1.1250000562307994
2018-10-21,1.1238207838933392
2018-10-28,1.0530661305697167
2018-11-04,1.1474056683345468
2018-11-11,1.1904482089590505
2018-11-18,1.2063679356683656
2018-11-25,1.1839623235646184
2018-12-02,1.2411556823922465
2018-12-09,1.1951651858472918
2018-12-16,1.182193415058428
2018-12-23,1.089033037169458
2018-12-30,1.0949292863951599
2019-01-06,1.1468161446274165
2019-01-13,1.2022405949488542
2019-01-20,1.2063679356683656
2019-01-27,1.2830189506792902
2019-02-03,1.3396226733381886
2019-02-10,1.3408019456756488
2019-02-17,1.369693443173828
2019-02-24,1.4834906371219545
2019-03-03,1.4770047517275224
2019-03-10,1.3673350109605074
2019-03-17,1.4162736883491127
2019-03-24,1.3720519878487487
2019-03-31,1.3655661024543169
2019-04-07,1.462264184894068
2019-04-14,1.4510614350729942
2019-04-21,1.4793632964024437
2019-04-28,1.5064858853944327
2019-05-05,1.5454009728378246
2019-05-12,1.4970519316179491
2019-05-19,1.4887972501789268
2019-05-26,1.5035378170123812
2019-06-02,1.5135614069575942
2019-06-09,1.5925708541818395
2019-06-16,1.6096698532286149
2019-06-23,1.6509434853469285
2019-06-30,1.6668633245178432
2019-07-07,1.7252359556829313
2019-07-14,1.6951651858472914
2019-07-21,1.7122642973556668
2019-07-28,1.681014255182567
2019-08-04,1.7912736321183127
2019-08-11,1.816627425065711
2019-08-18,1.7576651577318922
2019-08-25,1.771816088396617
2019-09-01,1.8012972220635262
2019-09-08,1.7535378170123808
2019-09-15,1.744693499404628
2019-09-22,1.8944577124140958
2019-09-29,1.7222877748392809
2019-10-06,1.7452831355733585
2019-10-13,1.756485997856032
2019-10-20,1.709905752680747
2019-10-27,1.7110850250182073
2019-11-03,1.6615567114608714
2019-11-10,1.641509531570445
2019-11-17,1.6420991677391756
2019-11-24,1.616745374791778
2019-12-01,1.6503538491781984
2019-12-08,1.696344458184753
2019-12-15,1.7511793847990607
2019-12-22,1.808962379795419
2019-12-29,1.820165242078093
2020-01-05,1.8708727155112888
2020-01-12,1.911556598999272
2020-01-19,1.9852594331665452
2020-01-26,1.9681605465813694
2020-02-02,1.895636984751556
2020-02-09,2.051297334525126
2020-02-16,2.211674548725338
2020-02-23,2.4038916661905794
2020-03-01,2.1503539616397984
2020-03-08,2.174528482249736
2020-03-15,1.602004807958323
2020-03-22,1.3413915818443798
2020-03-29,1.4722877748392813
2020-04-05,1.4044811898977094
2020-04-12,1.6491745768407378
2020-04-19,1.7040095034550453
2020-04-26,1.6727595737435452
2020-05-03,1.698113254229344
2020-05-10,1.8991745768407386
2020-05-17,1.8213444019539538
2020-05-24,1.928066186800518
2020-05-31,1.9905660462235184
2020-06-07,2.0966983073629524
2020-06-14,2.0082549063622244
2020-06-21,2.0731133104601454
2020-06-28,2.0571934712892306
2020-07-05,2.201651071241727
2020-07-12,2.4392689366215943
2020-07-19,2.587853877293602
2020-07-26,2.649174689302341
2020-08-02,2.653891553728983
2020-08-09,3.01886813247617
2020-08-16,3.0400945847040566
2020-08-23,3.0919812180131143
2020-08-30,3.3525945565886577
2020-09-06,3.036556767691676
2020-09-13,3.1084908058143594
2020-09-20,3.255896474148907
2020-09-27,3.3985850531336133
2020-10-04,3.9262971658327324
2020-10-11,4.461085362403014
2020-10-18,4.334316397666022
2020-10-25,4.193396614725906
2020-11-01,4.054834926614311
2020-11-08,4.454599477008579
2020-11-15,4.341981330474713
2020-11-22,4.600235899452136
2020-11-29,5.036556767691675
2020-12-06,4.8007076983563985
2020-12-13,4.941038182512584
2020-12-20,5.660377664046614
2020-12-27,6.061321261855142
2021-01-03,6.058962717180221
2021-01-10,7.02417474553314
2021-01-17,6.302476719324188
2021-01-24,7.140920232786517
2021-01-31,6.4086089804636215
2021-02-07,6.880307119134171
2021-02-14,7.153302254945049
2021-02-21,6.523585221826008
2021-02-28,5.974056908268671
2021-03-07,5.158019344294892
2021-03-14,5.737028791519137
2021-03-21,5.2818400157266305
2021-03-28,5.18985857279032
2021-04-04,5.346698419824549
2021-04-11,5.097877579700409
2021-04-18,5.040684108411181
2021-04-25,5.362028735288333
2021-05-02,4.902712618776317
2021-05-09,4.431014480105765
2021-05-16,4.277122926376787
2021-05-23,4.62912773433511
2021-05-30,4.664505004766122
2021-06-06,4.530660406004369
2021-06-13,4.706368160591566
2021-06-20,4.862618258995466
2021-06-27,5.0454011977610245
2021-07-04,5.1992927514900025
2021-07-11,5.201061547534592
2021-07-18,4.754127453181109
2021-07-25,4.920990777698953
2021-08-01,5.051297334525125
2021-08-08,5.084905808911547
2021-08-15,4.883254962593022
2021-08-22,4.696344683107952
2021-08-29,4.959316341435218
2021-09-05,5.073113535383344
2021-09-12,4.913325844890263
2021-09-19,5.024764494163468
2021-09-26,4.7488210650473395
2021-10-03,4.779481246128508
2021-10-10,4.630306781749371
2021-10-17,5.138561688111595
2021-10-24,5.2146230669537905
2021-10-31,5.843160602812172
2021-11-07,5.646226845843488
2021-11-14,5.873231485109412
2021-11-21,5.785377832739013
2021-11-28,5.346108671194223
2021-12-05,4.844340100072832
2021-12-12,4.9316040038128985
2021-12-19,4.660377664046612
2021-12-26,4.5937504639041
2022-01-02,4.538325788659463
